Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,ust_id
1,Unpolarized capacitor,C,C4,1nF,C_0805_2012Metric,1,~,5c70984812875079b91f8ba6
2,Unpolarized capacitor,C,C1C2C3C5C6C7C10C11C12,100nF,C_0805_2012Metric,9,~,6508260b462c6d9e720541f1 5c70984712875079b91f8b4c
3,Unpolarized capacitor,C,C8C9,10uF,C_0805_2012Metric,2,~,5c70984812875079b91f8bbe
4,Zener diode,D_Zener,D2,"BZV55C-6,2V",D_MiniMELF,1,~,604b0326128750769e5b0f93
5,"600W unidirectional Transil Transient Voltage Suppressor, 12Vrwm, DO-214AA",SM6T12A,D1,UCLAMP3301H.TCT,D_SMB,1,https://www.st.com/resource/en/datasheet/sm6t.pdf,612514fe1287500165a976f3
6,"2x03 2.54 mm pitch header, 2 pins next to each other are connected",HEADER_2x03_PARALLEL,J1,3.3-5V,Straight_2x03,1,,
7,2x01 2.54 mm pitch header,HEADER_2x01,J2,HEADER_2x01,Straight_2x01,1,,
8,"2x01 2.54 mm pitch header, 2 pins next to each other are connected",HEADER_2x01_PARALLEL,J4J5J6J7,HEADER_2x01_PARALLEL,Straight_2x01,4,,
9,"coaxial connector (BNC, SMA, SMB, SMC, Cinch/RCA, LEMO, ...)",Conn_Coaxial,J9,MCX,SMA_Amphenol_901-144_Vertical,1,~,5fa10cc512875025b39779f6
10,Two-piece EMI RF shielding cabinet,RFShield_TwoPieces,M1,RFShield_TwoPieces,Laird_Technologies_BMI-S-204-F_32.00x32.00mm,1,~,5c72751c1287500b4e11301a
11,Resistor,R,R4R5R6R7,33R,R_0805_2012Metric,4,~,5c70984512875079b91f8970
12,Resistor,R,R2,2k2,R_0805_2012Metric,1,~,5c70984512875079b91f895e
13,Resistor,R,R3,10k,R_0805_2012Metric,1,~,5c70984512875079b91f8962
14,Resistor,R,R1,10M,R_0805_2012Metric,1,~,5c70984712875079b91f8b6d
15,"2.0V 25μA Micropower Voltage Reference, SOT-23",ISL21070CIH320Z-TK,U3,ISL21080CIH330Z-TK,SOT-23,1,http://www.intersil.com/content/dam/Intersil/documents/fn75/fn7599.pdf,
16,"2.0V 25μA Micropower Voltage Reference, SOT-23",ISL21070CIH320Z-TK,U1,ISL21080DIH312Z-TK  1V25,SOT-23,1,http://www.intersil.com/content/dam/Intersil/documents/fn75/fn7599.pdf,5c70984712875079b91f8b7a
17,"Dual channel 16-bit SAR Analog to Digital Converter, 5V supply, 150ksps, SPI interface",LTC1865-MS,U4,LTC1865-MS,MSOP-10_3x3mm_P0.5mm,1,https://www.analog.com/media/en/technical-documentation/data-sheets/18645fb.pdf,
18,"50μV V OS, 0.25μV/°C, 35μA CMOS OPERATIONAL AMPLIFIERS, Zerø-Drift Series, SOT",OPA330xxDBV,U2,OPA314,SOT-23-5,1,http://www.ti.com/lit/ds/symlink/opa330.pdf,5c70984412875079b91f879a
