Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100nF","C_0603_1608Metric",32.1380,33.0894,180.0000,bottom
"C2","100nF","C_0603_1608Metric",14.7320,25.4000,0.0000,bottom
"C3","100nF","C_0603_1608Metric",32.1380,28.0694,180.0000,bottom
"C4","1nF","C_0603_1608Metric",32.1380,25.5594,180.0000,bottom
"C5","100nF","C_0603_1608Metric",32.1380,23.0494,180.0000,bottom
"C6","1uF","FIR_0805",47.7520,19.5580,0.0000,bottom
"C7","100nF","C_0805_2012Metric",37.2784,25.0304,180.0000,bottom
"C8","10uF","C_0805_2012Metric",37.2784,22.0204,180.0000,bottom
"C9","10uF","CP_EIA-3216-18_Kemet-A",42.5134,19.0004,180.0000,bottom
"C10","100nF","C_0805_2012Metric",37.2784,19.0104,180.0000,bottom
"C11","100nF","C_0805_2012Metric",37.2784,16.0004,180.0000,bottom
"C12","100nF","C_0805_2012Metric",37.2784,12.9904,180.0000,bottom
"D1","UCLAMP3301H.TCT","D_SOD-523",22.0980,23.3680,-90.0000,bottom
"D2","BZV55C-6,2V","D_MiniMELF",62.9920,21.6180,90.0000,bottom
"FID1","Fiducial","Fiducial_1mm_Mask2mm",54.8640,42.6720,180.0000,bottom
"FID2","Fiducial","Fiducial_1mm_Mask2mm",7.8740,16.7640,180.0000,bottom
"J1","3.3-5V","Straight_2x03",58.6740,20.0660,0.0000,top
"J2","HEADER_2x01","Straight_2x01",45.4660,34.2900,0.0000,top
"J4","HEADER_2x01_PARALLEL","Straight_2x01",58.6740,29.4640,180.0000,top
"J5","HEADER_2x01_PARALLEL","Straight_2x01",58.6740,32.0040,180.0000,top
"J6","HEADER_2x01_PARALLEL","Straight_2x01",58.6740,34.5440,180.0000,top
"J7","HEADER_2x01_PARALLEL","Straight_2x01",58.6740,26.9240,180.0000,top
"J9","MCX","SMA_Amphenol_901-144_Vertical",11.1506,25.4000,0.0000,top
"M1","RFShield_TwoPieces","Laird_Technologies_BMI-S-204-F_32.00x32.00mm",35.5600,25.4000,180.0000,bottom
"M2","HOLE","MountingHole_3mm",10.1600,40.6400,0.0000,top
"M3","HOLE","MountingHole_3mm",60.9600,40.6400,0.0000,top
"M4","HOLE","MountingHole_3mm",10.1600,10.1600,0.0000,top
"M5","HOLE","MountingHole_3mm",60.9600,10.1600,0.0000,top
"R1","10M","R_0603_1608Metric",22.0980,26.4160,-90.0000,bottom
"R2","2k2","R_0603_1608Metric",32.1380,18.0294,180.0000,bottom
"R3","10k","R_0603_1608Metric",32.1380,15.5194,180.0000,bottom
"U1","ISL21080DIH312Z-TK  1V25","SOT-23",39.7995,34.5440,180.0000,bottom
"U2","OPA314","SOT-23-5",43.7484,14.8354,180.0000,bottom
"U3","ISL21080CIH330Z-TK","SOT-23",46.7360,29.2100,90.0000,bottom
"U4","LTC1865-MS","MSOP-10_3x3mm_P0.5mm",45.9740,24.3840,0.0000,bottom
