Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"J1","3.3-5V","Straight_2x03",58.6740,20.0660,0.0000,top
"J2","HEADER_2x01","Straight_2x01",41.1480,33.0200,90.0000,top
"J4","HEADER_2x01_PARALLEL","Straight_2x01",58.6740,29.4640,180.0000,top
"J5","HEADER_2x01_PARALLEL","Straight_2x01",58.6740,32.0040,180.0000,top
"J6","HEADER_2x01_PARALLEL","Straight_2x01",58.6740,34.5440,180.0000,top
"J7","HEADER_2x01_PARALLEL","Straight_2x01",58.6740,26.9240,180.0000,top
"J9","MCX","SMA_Amphenol_901-144_Vertical",11.1506,25.4000,0.0000,top
"M2","HOLE","MountingHole_3mm",10.1600,40.6400,0.0000,top
"M3","HOLE","MountingHole_3mm",60.9600,40.6400,0.0000,top
"M4","HOLE","MountingHole_3mm",10.1600,10.1600,0.0000,top
"M5","HOLE","MountingHole_3mm",60.9600,10.1600,0.0000,top
